0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
序 号,产品名称及规格,单 位,单价 (万元),数量 合计,金额合计 (万元),交货进度,执行标准,,,,,,,,,,,,
年度,一季度,二季度,三季度,四季度,,,,,,,,,,,,,,,
1,B9243AMG型抗辐射14位3M SPS A/D 转换器,只,3.2,30,96,2019,,,,,,,,,9月,,,,CASTPS11/028B-2016
合计人民币金额:,"备注:订单号49,赛斯库验收(大写)玖拾陆万圆整 ￥:96万",,,,,,,,,,,,,,,,,,
需方(甲方),需方主管部门鉴章,供方(Z方),供方主管部门(单位)鉴章,,,,,,,,,,,,,,,,
单位名称 (盖章),中国科学院国家空间科学中心,(盖章) 经办人: 年月 日,单位名称 (盖章) 分量,北京微电子技术研究所,(盖章) 经办人: 年月日,,,,,,,,,,,,,,
许可证编号,/XK国防-01-11-KS-0672),许可证编号,XK FERO- 立-NS-0911,,,,,,,,,,,,,,,,
承制单位资格 注册编号,SHE BDYSWO643,承制单位资格 注册编号,400011,,,,,,,,,,,,,,,,
法定代表人或 委托代理人,BDL,法定代表人或 委托代理人,17 之爱幻奇 合计,,,,,,,,,,,,,,,,
联系电话,010-62586523,联系电话,10557968115,,,,,,,,,,,,,,,,
传真号码,010-62584738,供方军事代表机构鉴章(如有),传真号码,010-68757706,,,,,,,,,,,,,,,
通讯地址,北京市海淀区中关村南二条1号,(盖章) 经办人: 年月 日,通讯地址,北京9243信箱,,,,,,,,,,,,,,,
邮政编码,100190,邮政编码,100076,,,,,,,,,,,,,,,,
开户名称,中国科学院国家空间科学中心,开户名称,北京微电子技术研究所,,,,,,,,,,,,,,,,
开户银行,中国建设银行北京中关村支行,开户银行,中国工商银行东高地支行,,,,,,,,,,,,,,,,
银行账号,1.1001E+19,银行账号,2.00007E+17,,,,,,,,,,,,,,,,
合同有效期: 年月 日至 年 月 日,科工免税(20)第二号 】,,,,,,,,,,,,,,,,,,
